gamma,round,ood_dataset,AUROC,AUPR,FPR95
0.5,8,CIFAR100,0.676669425,0.7015643079357956,0.8974
0.5,9,SVHN,0.8257354217885678,0.7893273384390259,0.8661647203441918
0.5,9,CIFAR100,0.6548292849999999,0.6453565998609758,0.9065
0.5,10,SVHN,0.6528867163491088,0.6068405578191582,0.9667716656422864
0.5,10,CIFAR100,0.652236795,0.685510182703009,0.9203
1.0,1,SVHN,0.8796932909496005,0.7783217888707558,0.6185848186846957
1.0,1,CIFAR100,0.834884475,0.8304540583389399,0.6976
1.0,2,SVHN,0.8905336585740626,0.8345813233308143,0.6931853103872158
1.0,2,CIFAR100,0.832085675,0.8306367564475774,0.7227
1.0,3,SVHN,0.8348478257529195,0.675010226944349,0.7438537185003073
1.0,3,CIFAR100,0.7912794949999999,0.7515246308272946,0.7127
1.0,4,SVHN,0.8776002400891211,0.8205709290417871,0.7187307928703135
1.0,4,CIFAR100,0.85487095,0.8723226645915141,0.7023
1.0,5,SVHN,0.844539215196681,0.6529726026348863,0.6981023355869699
1.0,5,CIFAR100,0.79038751,0.7629128632424487,0.7286
1.0,6,SVHN,0.8611879993853717,0.7934706956503681,0.7552243392747388
1.0,6,CIFAR100,0.838230285,0.8541860364655627,0.7427
1.0,7,SVHN,0.84474239781807,0.714817474748966,0.7614474492931776
1.0,7,CIFAR100,0.7914374000000001,0.7676717043878877,0.7237
1.0,8,SVHN,0.897917271051014,0.8523543205473596,0.6424016594960049
1.0,8,CIFAR100,0.8480576450000001,0.864338806797483,0.7185
1.0,9,SVHN,0.873674204824831,0.7552168693234103,0.6661032575291949
1.0,9,CIFAR100,0.7933307549999999,0.7545048646344285,0.7371
1.0,10,SVHN,0.8242616279963122,0.6766486558040867,0.7814612784265519
1.0,10,CIFAR100,0.8172391600000001,0.8038927939865401,0.7177
2.0,1,SVHN,0.9062058082360172,0.878004275124001,0.6744775660725261
2.0,1,CIFAR100,0.86018744,0.8756801381137722,0.7059
2.0,2,SVHN,0.8927570586201597,0.8519547912048526,0.6757836508912108
2.0,2,CIFAR100,0.8320857100000001,0.8496798747486343,0.7129
2.0,3,SVHN,0.9397578365089121,0.9167050239820427,0.4496773202212661
2.0,3,CIFAR100,0.8584328899999999,0.8726400926432647,0.6979
2.0,4,SVHN,0.9133483481868471,0.8903338683280392,0.6554625076828519
2.0,4,CIFAR100,0.852646325,0.8656797856734351,0.7158
2.0,5,SVHN,0.9304029175629993,0.9098541114077223,0.5483635525507068
2.0,5,CIFAR100,0.8563824550000001,0.8728168972725957,0.7105
2.0,6,SVHN,0.8947167966349108,0.8593020485614381,0.6819299323909035
2.0,6,CIFAR100,0.85379754,0.8729631448517072,0.7079
2.0,7,SVHN,0.9130655097572219,0.8858579539497498,0.6262676705593117
2.0,7,CIFAR100,0.860199955,0.8784685587369933,0.7057
2.0,8,SVHN,0.9137660648432699,0.889468814091205,0.6483558696988322
2.0,8,CIFAR100,0.85482064,0.86512910841391,0.6971
2.0,9,SVHN,0.926816170482483,0.9034405465024364,0.5440611555009219
2.0,9,CIFAR100,0.8621098200000001,0.8753148130350961,0.6796
2.0,10,SVHN,0.9084062999385372,0.8870779664272865,0.6713275968039336
2.0,10,CIFAR100,0.857292415,0.8727292938502881,0.7107
5.0,1,SVHN,0.9179992259526737,0.8878092419220447,0.5948832206515058
5.0,1,CIFAR100,0.697641115,0.7420183833402472,0.8993
5.0,2,SVHN,0.7520801436693301,0.6929010099082065,0.8016287645974186
5.0,2,CIFAR100,0.6493094500000001,0.7154455311792565,0.9145
5.0,3,SVHN,0.46323334933927474,0.3648657167833179,0.9197526121696373
5.0,3,CIFAR100,0.52324854,0.5696481790650887,0.9429
5.0,4,SVHN,0.49615673978180697,0.40711053601144775,0.9335433312845728
5.0,4,CIFAR100,0.5229846499999999,0.5656247313133302,0.9484
5.0,5,SVHN,0.40175019207129686,0.34669856716070924,0.9531346035648433
5.0,5,CIFAR100,0.52002865,0.5686865735898732,0.9509
5.0,6,SVHN,0.7368412876459741,0.6718388593309992,0.8934388444990781
5.0,6,CIFAR100,0.607884815,0.6747706216045913,0.9439
5.0,7,SVHN,0.42995631530424094,0.3142766622223036,0.9688844499078058
5.0,7,CIFAR100,0.53276177,0.5409530976315676,0.9375
5.0,8,SVHN,0.7951388425783651,0.7320832105023946,0.8147664413030117
5.0,8,CIFAR100,0.6611451949999999,0.717214532066714,0.9222
5.0,9,SVHN,0.3175058447295636,0.35220362566241903,0.9938537185003073
5.0,9,CIFAR100,0.505656,0.5889128708365481,0.9685
5.0,10,SVHN,0.7624242105869699,0.719067870780826,0.8995851259987707
5.0,10,CIFAR100,0.703977475,0.7531524891014192,0.8973
